"contrast","cellline","time","estimate","SE","df","t.ratio","p.value","lipid","p_adj"
"Control - Migration","HCC38","18",-0.101767704047343,0.123796202971831,70.9999999999998,-0.822058363700375,0.413795840234812,"X9_12_13_TriHOME",0.827591680469624
"Control - Migration","HCC1143","22",0.084618551649065,0.123796202971831,70.9999999999998,0.683531074602662,0.496496013491792,"X9_12_13_TriHOME",0.999999999999908
"Control - Migration","HCC38","22",0.0391741816961478,0.123796202971831,70.9999999999998,0.316440898474581,0.752596366529332,"X9_12_13_TriHOME",0.989440426716571
"Control - Migration","HCC1143","0",-0.110426023512877,0.157639906857842,70.5562242992447,-0.700495361320262,0.485921607618479,"X9_HODE",0.999999999998754
"Control - Migration","HCC38","0",0.179791871264408,0.157639906857842,70.5562242992434,1.14052256721099,0.25792533582339,"X9_HODE",0.944942193014634
"Control - Migration","HCC1143","12",-0.0796020766965317,0.157639906857842,70.5562242992434,-0.504961454768658,0.615159543441629,"X9_HODE",0.999999999999906
"Control - Migration","HCC38","12",0.0446586788985048,0.157639906857842,70.5562242992437,0.283295516907261,0.777779882437071,"X9_HODE",0.999999999999991
"Control - Migration","HCC1143","18",-0.0681142722118402,0.168505241398616,70.7373541795948,-0.404226430266992,0.687265806670347,"X9_HODE",0.99999999999993
"Control - Migration","HCC38","18",0.0643498125730982,0.157639906857842,70.5562242992434,0.408207628739137,0.684357426331069,"X9_HODE",0.999999999999992
"Control - Migration","HCC1143","22",-0.0465696674398551,0.157639906857842,70.5562242992434,-0.295418009107624,0.768542204183156,"X9_HODE",0.999999999999908
"Control - Migration","HCC38","22",0.165294215515113,0.157639906857842,70.5562242992434,1.04855565325964,0.297961236911701,"X9_HODE",0.834291463352762
"Control - Migration","HCC1143","0",-0.00733660625411719,0.0503277575524683,71.0000000000031,-0.145776537857236,0.884510881095129,"CA",0.999999999998754
"Control - Migration","HCC38","0",-0.0226141389528281,0.0503277575524685,71.0000000000008,-0.449337305149192,0.654557034747769,"CA",0.947979153772631
"Control - Migration","HCC1143","12",0.0142007026656385,0.0503277575524684,71.0000000000001,0.282164422899904,0.778638316189336,"CA",0.999999999999906
"Control - Migration","HCC38","12",0.010128298728143,0.0503277575524685,70.9999999999998,0.201246771576975,0.841081057583965,"CA",0.999999999999991
"Control - Migration","HCC1143","18",0.0310364681304901,0.0538331969444373,71.0000000000001,0.576530280423875,0.566080147934729,"CA",0.99999999999993
"Control - Migration","HCC38","18",0.0383148066164964,0.0503277575524685,70.9999999999998,0.761305658742134,0.448995809936269,"CA",0.857173818969241
"Control - Migration","HCC1143","22",0.0371854939882625,0.0503277575524685,70.9999999999998,0.738866498263812,0.462423703045279,"CA",0.999999999999908
"Control - Migration","HCC38","22",0.109485300893227,0.0503277575524685,71.0000000000001,2.17544564307449,0.032927645480202,"CA",0.276592222033697
"Control - Migration","HCC1143","0",0.0421554168829741,0.251544577501658,71.0000000000028,0.1675862676177,0.867385202853321,"DHEA",0.999999999998754
"Control - Migration","HCC38","0",-0.36806089052086,0.251544577501658,70.9999999999998,-1.46320343764291,0.147824825152549,"DHEA",0.776080332050884
"Control - Migration","HCC1143","12",-0.161721383327019,0.251544577501658,71.0000000000001,-0.64291341492326,0.522351204155204,"DHEA",0.999999999999906
"Control - Migration","HCC38","12",-0.461616317094191,0.251544577501658,71.0000000000001,-1.83512728312002,0.0706754353297404,"DHEA",0.863109900342244
"Control - Migration","HCC1143","18",-0.522210587471567,0.269065212508914,70.9999999999998,-1.94083279143441,0.0562491441794276,"DHEA",0.787488018511987
"Control - Migration","HCC38","18",-0.463357300780142,0.251544577501658,70.9999999999998,-1.84204845670779,0.0696441336746356,"DHEA",0.41134898167199
"Control - Migration","HCC1143","22",-0.00967725956825994,0.251544577501658,70.9999999999998,-0.0384713503442393,0.969419843061984,"DHEA",0.999999999999908
"Control - Migration","HCC38","22",-0.362945325950896,0.251544577501658,70.9999999999998,-1.44286682525885,0.15345541450391,"DHEA",0.689023926722124
"Control - Migration","HCC1143","0",0.061374694694471,0.158544450874476,71.0000000000001,0.387113483669403,0.699830136751247,"EPEA",0.999999999998754
"Control - Migration","HCC38","0",-0.0966168809744507,0.158544450874476,71.0000000000008,-0.609399322660272,0.544205020043679,"EPEA",0.944942193014634
"Control - Migration","HCC1143","12",0.262836710446743,0.158544450874476,71.0000000000001,1.65781084734929,0.101767954354155,"EPEA",0.999999999999906
"Control - Migration","HCC38","12",-0.201846460821617,0.158544450874476,70.9999999999998,-1.27312220458238,0.207127464059502,"EPEA",0.999999999999991
"Control - Migration","HCC1143","18",0.0702439614063999,0.169587421801485,70.9999999999998,0.414205019807576,0.679972657983691,"EPEA",0.99999999999993
"Control - Migration","HCC38","18",0.0816453410073993,0.158544450874476,70.9999999999998,0.514968140209713,0.608174847788235,"EPEA",0.999999999999992
"Control - Migration","HCC1143","22",-0.118955623112676,0.158544450874476,70.9999999999998,-0.750298244161545,0.455554379484626,"EPEA",0.999999999999908
"Control - Migration","HCC38","22",0.104298440679531,0.158544450874476,70.9999999999998,0.657849833937781,0.512761939332999,"EPEA",0.989440426716571
